type,status,departure.iataCode,departure.icaoCode,departure.terminal,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,arrival.baggage,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.gate,departure.gate,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,Time,Temp Max,Temp Avg,Temp Min,Dew Point Max,Dew Point Avg,Dew Point Min,Humidity Max,Humidity Avg,Humidity Min,Wind Speed Max,Wind Speed Avg,Wind Speed Min,Pressure Max,Pressure Avg,Pressure Min,Total,delay,delay_in_minutes,day_of_week,hour_of_day,month_of_year
departure,active,lhe,opla,m,2023-07-20 20:50:00,2023-07-20t20:00:00.000,2023-07-20 20:15:00,2023-07-20t20:15:00.000,2023-07-20t20:15:00.000,ruh,oerk,4,2023-07-20t23:20:00.000,2023-07-20t21:54:00.000,saudia,sv,sva,737,sv737,sva737,,,,,,,,,,,,,Jul 20,95,88.2,82,81,79.8,77,89,76.0,63,12,5.3,0,28.9,28.8,28.7,0.0,-1 days +23:25:00,0.0,Thursday,20,July
departure,active,lhe,opla,,2023-07-18 15:05:00,2023-07-18t15:05:00.000,,,,khi,opkc,,2023-07-18t16:50:00.000,,flyjinnah,9p,fjl,843,9p843,fjl843,,,,,,,,,,,,,Jul 18,95,89.4,84,81,80.1,77,84,73.8,63,17,10.2,0,28.8,28.8,28.7,0.0,,11.611387900355872,Tuesday,15,July
departure,active,lhe,opla,,2023-07-23 09:50:00,,,,,khi,opkc,,2023-07-23t11:35:00.000,,flyjinnah,9p,fjl,841,9p841,fjl841,,,,,,,,,,,,,Jul 23,95,86.6,79,79,75.8,73,83,71.2,56,14,8.1,0,29.0,28.9,28.8,0.0,,11.611387900355872,Sunday,9,July
departure,active,lhe,opla,m,2023-07-26 23:30:00,2023-07-26t23:30:00.000,2023-07-26 23:51:00,2023-07-26t23:51:00.000,2023-07-26t23:51:00.000,kwi,okkk,,2023-07-27t01:30:00.000,2023-07-27t01:24:00.000,pakistan international airlines,pk,pia,205,pk205,pia205,,,,,,,,,,,,,Jul 26,93,86.9,81,82,78.9,75,100,77.4,59,17,8.1,0,28.9,28.9,28.8,0.0,0 days 00:21:00,21.0,Wednesday,23,July
departure,active,lhe,opla,m,2023-07-20 11:35:00,2023-07-20t17:15:00.000,,,,dxb,omdb,1,2023-07-20t14:00:00.000,,serene air,er,sep,723,er723,sep723,03,,,,,,,,,,,,Jul 20,95,88.2,82,81,79.8,77,89,76.0,63,12,5.3,0,28.9,28.8,28.7,0.0,,11.611387900355872,Thursday,11,July
departure,active,lhe,opla,m,2023-07-28 09:00:00,2023-07-28t09:00:00.000,,,,khi,opkc,m,2023-07-28t10:55:00.000,,airblue,pa,abq,401,pa401,abq401,,,,,,,,,,,,,Jul 28,93,86.3,81,79,76.7,75,89,73.8,59,13,7.4,0,28.8,28.8,28.7,0.0,,11.611387900355872,Friday,9,July
departure,active,lhe,opla,m,2023-07-23 11:40:00,2023-07-23t11:40:00.000,,,,jed,oejn,1,2023-07-23t14:50:00.000,,saudia,sv,sva,735,sv735,sva735,,,,,,,,,,,,,Jul 23,95,86.6,79,79,75.8,73,83,71.2,56,14,8.1,0,29.0,28.9,28.8,0.0,,11.611387900355872,Sunday,11,July
departure,active,lhe,opla,m,2023-07-16 09:25:00,2023-07-16t09:25:00.000,,,,doh,othh,,2023-07-16t11:55:00.000,,iberia,ib,ibe,7915,ib7915,ibe7915,3,qatar airways,qr,qtr,629,qr629,qtr629,,,,,,Jul 16,88,84.1,79,81,77.7,75,89,81.0,70,21,10.4,5,28.8,28.8,28.8,0.0,,11.611387900355872,Sunday,9,July
departure,active,lhe,opla,,2023-07-30 22:00:00,,,,,kmg,zppp,,2023-07-31t05:00:00.000,,yto cargo airlines,yg,hyt,9090,yg9090,hyt9090,,,,,,,,,,,,,Jul 30,93,85.6,75,77,75.5,73,94,73.3,56,9,3.2,0,28.8,28.8,28.7,0.0,,11.611387900355872,Sunday,22,July
departure,cancelled,lhe,opla,m,2023-07-22 20:30:00,,,,,khi,opkc,m,2023-07-22t22:15:00.000,,serene air,er,sep,525,er525,sep525,,,,,,,,,,,,,Jul 22,82,79.3,77,79,76.0,73,100,90.3,83,21,12.0,3,29.0,26.6,0.0,0.0,,11.611387900355872,Saturday,20,July
departure,active,lhe,opla,,2023-07-24 10:45:00,2023-07-24t10:45:00.000,2023-07-24 10:54:00,2023-07-24t10:54:00.000,2023-07-24t10:54:00.000,bgw,orbi,,2023-07-24t13:10:00.000,2023-07-24t12:44:00.000,fly baghdad,if,fba,344,if344,fba344,,,,,,,,,,,,,Jul 24,97,87.3,82,82,78.2,75,89,74.3,60,28,7.5,0,28.9,28.9,28.8,0.0,0 days 00:09:00,9.0,Monday,10,July
departure,active,lhe,opla,m,2023-07-15 21:10:00,2023-07-15t20:55:00.000,,,,doh,othh,,2023-07-15t23:10:00.000,,rwandair,wb,rwd,1563,wb1563,rwd1563,1,qatar airways,qr,qtr,609,qr609,qtr609,,,,,,Jul 15,93,88.3,84,82,77.7,75,79,70.6,63,17,7.1,0,28.8,28.8,28.7,0.0,,11.611387900355872,Saturday,21,July
departure,active,lhe,opla,m,2023-07-28 20:50:00,2023-07-28t20:50:00.000,,,,ruh,oerk,4,2023-07-28t23:20:00.000,,saudia,sv,sva,737,sv737,sva737,,,,,,,,,,,,,Jul 28,93,86.3,81,79,76.7,75,89,73.8,59,13,7.4,0,28.8,28.8,28.7,0.0,,11.611387900355872,Friday,20,July
